Season,Player
2017-18,James Harden\hardeja01
2016-17,Russell Westbrook\westbru01
2015-16,Stephen Curry\curryst01
2014-15,Stephen Curry\curryst01
2013-14,Kevin Durant\duranke01
2012-13,LeBron James\jamesle01
2011-12,LeBron James\jamesle01
2010-11,Derrick Rose\rosede01
2009-10,LeBron James\jamesle01
2008-09,LeBron James\jamesle01
2007-08,Kobe Bryant\bryanko01
2006-07,Dirk Nowitzki\nowitdi01
2005-06,Steve Nash\nashst01
2004-05,Steve Nash\nashst01
2003-04,Kevin Garnett\garneke01
2002-03,Tim Duncan\duncati01
2001-02,Tim Duncan\duncati01
2000-01,Allen Iverson\iversal01
2099-00,Shaquille O'Neal\onealsh01
1998-99,Karl Malone\malonka01
1997-98,Michael Jordan\jordami01
1996-97,Karl Malone\malonka01
1995-96,Michael Jordan\jordami01
1994-95,David Robinson\robinda01
1993-94,Hakeem Olajuwon\olajuha01
1992-93,Charles Barkley\barklch01
1991-92,Michael Jordan\jordami01
1990-91,Michael Jordan\jordami01
1989-90,Magic Johnson\johnsma02
1988-89,Magic Johnson\johnsma02
1987-88,Michael Jordan\jordami01
1986-87,Magic Johnson\johnsma02
1985-86,Larry Bird\birdla01
1984-85,Larry Bird\birdla01
1983-84,Larry Bird\birdla01
1982-83,Moses Malone\malonmo01
1981-82,Moses Malone\malonmo01
1980-81,Julius Erving\ervinju01
1979-80,Kareem Abdul-Jabbar\abdulka01
1978-79,Moses Malone\malonmo01
1977-78,Bill Walton\waltobi01
1976-77,Kareem Abdul-Jabbar\abdulka01
1975-76,Kareem Abdul-Jabbar\abdulka01
1974-75,Bob McAdoo\mcadobo01
1973-74,Kareem Abdul-Jabbar\abdulka01
1972-73,Dave Cowens\cowenda01
1971-72,Kareem Abdul-Jabbar\abdulka01
1970-71,Kareem Abdul-Jabbar\abdulka01
1969-70,Willis Reed\reedwi01
1968-69,Wes Unseld\unselwe01
1967-68,Wilt Chamberlain\chambwi01
1966-67,Wilt Chamberlain\chambwi01
1965-66,Wilt Chamberlain\chambwi01
1964-65,Bill Russell\russebi01
1963-64,Oscar Robertson\roberos01
1962-63,Bill Russell\russebi01
1961-62,Bill Russell\russebi01
1960-61,Bill Russell\russebi01
1959-60,Wilt Chamberlain\chambwi01
1958-59,Bob Pettit\pettibo01
1957-58,Bill Russell\russebi01
1956-57,Bob Cousy\cousybo01
1955-56,Bob Pettit\pettibo01
