Team,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,2099-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85,1983-84,1982-83,1981-82,1980-81,1979-80,1978-79,1977-78,1976-77,1975-76,1974-75,1973-74,1972-73,1971-72,1970-71,1969-70,1968-69,1967-68,1966-67,1965-66,1964-65,1963-64,1962-63,1961-62,1960-61,1959-60,1958-59,1957-58,1956-57,1955-56
ATL,43,48,60,38,44,40,44,53,47,37,30,26,13,28,35,33,25,28,31,50,56,46,42,57,43,38,43,41,52,50,57,50,34,40,43,42,31,50,46,41,31,29,31,35,46,36,36,48,48,56,39,36,45,46,48,29,51,46,49,41,34,33
BOS,53,48,40,25,41,39,56,50,62,66,24,33,45,36,44,49,36,35,19,36,15,33,35,32,48,51,56,52,42,57,59,67,63,62,56,63,62,61,29,32,44,54,60,56,68,56,44,34,48,54,60,54,62,59,58,60,57,59,52,49,44,39
BRK,20,21,38,44,49,22,24,12,34,34,41,49,42,47,49,52,26,31,16,43,26,30,30,45,43,40,26,17,26,19,24,39,42,45,49,44,24,34,37,24,22,,,,,,,,,,,,,,,,,,,,,
CHI,41,42,50,48,45,50,62,41,41,33,49,41,47,23,30,21,15,17,13,62,69,72,47,55,57,67,61,55,47,50,40,30,38,27,28,34,45,30,31,40,44,24,47,54,51,57,51,39,33,29,33,,,,,,,,,,,
CHO,36,48,33,43,21,7,34,44,35,32,33,26,18,,,44,46,49,26,51,54,41,50,41,44,31,26,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,51,57,53,33,24,21,19,61,66,45,50,50,42,35,17,29,30,32,22,47,42,47,43,47,54,57,33,42,57,42,31,29,36,28,23,15,28,37,30,43,43,49,40,29,32,23,15,,,,,,,,,,,,,,,
DAL,33,42,50,49,41,36,57,55,50,51,67,60,58,52,60,57,53,40,19,20,24,26,36,13,11,22,28,47,38,53,55,44,44,43,38,28,15,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,40,33,30,36,57,38,50,53,54,50,45,44,49,43,17,27,40,35,14,11,21,35,41,42,36,24,20,43,44,54,37,47,52,38,45,46,37,30,47,48,50,,,,,,,,,,,,,,,,,,,,,
DET,37,44,32,29,29,25,30,27,39,59,53,64,54,54,50,50,32,42,29,37,54,46,28,20,40,48,50,59,63,54,52,46,46,49,37,39,21,16,30,38,44,36,40,52,40,26,45,31,32,40,30,22,31,23,34,37,34,30,28,33,34,37
GSW,67,73,67,51,47,23,36,26,29,48,42,34,34,37,38,21,17,19,21,19,30,36,26,50,34,55,44,37,43,20,42,30,22,37,30,45,39,24,38,43,46,59,48,44,47,51,41,30,41,43,44,35,17,48,31,49,46,49,32,37,37,45
HOU,55,41,56,54,45,34,43,42,53,55,52,34,51,45,43,28,45,34,31,41,57,48,47,58,55,42,52,41,45,46,42,51,48,29,14,46,40,41,47,28,49,40,41,32,33,34,40,27,37,15,,,,,,,,,,,,
IND,42,45,38,56,49,42,37,32,36,36,35,41,44,61,48,42,41,56,33,58,39,52,52,47,41,40,41,42,28,38,41,26,22,26,20,35,44,37,38,31,36,,,,,,,,,,,,,,,,,,,,,
LAC,51,53,56,57,56,40,32,29,19,23,40,47,37,28,27,39,31,15,9,17,36,29,17,27,41,45,31,30,21,17,12,32,31,30,25,17,36,35,43,27,30,46,49,42,21,22,22,,,,,,,,,,,,,,,
